Year,Month,TotalBonus,TotalDiscount
2024,1,11783,20996084.1455
2024,2,9697,28594273.7938001
2024,3,11186,25633918.7389001
2024,4,8734,20987864.28572
2024,5,12212,28593598.3066
2024,6,9251,27231303.9603
2024,7,8491,25237791.9861
2024,8,10310,27951177.7343
2024,9,11016,28161573.6511
2024,10,13204,32002706.8705402
2024,11,15669,37240248.2064199
2024,12,11835,27617650.6151696
2025,1,13238,31869670.7834196
2025,2,13271,27598239.4420299
2025,3,11275,25343691.6470499
2025,4,12872,25441181.2841498
2025,5,14285,32115321.9474597
2025,6,12505,30301102.4583999
2025,7,18928,30453686.2127998
2025,8,20719,29722748.4912
2025,9,29043,31140358.3918
2025,10,27203,34087887.2725999
2025,11,20752,30951765.9009998
2025,12,22492,30174861.6485998
2026,1,15432,28388471.8970999
2026,2,2594,4731861.99015001
