DistributorCode,DistributorName,Revenue
2695,PREMIER SALES PVT LTD-LAHORE,3501098621.55816
2728,PREMIER SALES PVT LTD-KORANGI,3079439865.0572
3996,PREMIER SALES PVT LTD-PESHAWAR,2641976389.00366
2729,PREMIER SALES PVT LTD-FB AREA,2325539094.63523
2696,PREMIER SALES PVT LTD-RAWALPINDI,1995628494.54967
2707,PREMIER SALES PVT LTD-FAISALABAD,1553018576.32039
4174,PREMIER SALES PVT LTD-S.I.T.E AREA,1388149439.2525
2911,PREMIER SALES PVT LTD-SWAT,1290416429.51643
786,PREMIER SALES PVT LTD-ISLAMABAD,1144531078.11981
2708,PREMIER SALES PVT LTD-MULTAN,1142620509.14695
2694,PREMIER SALES PVT LTD-QUETTA,1056262280.49042
2715,PREMIER SALES PVT LTD-HYDERABAD,1017614529.80145
8316,PREMIER SALES PVT LTD-FATEH GARH-LHR,957477019.816331
2785,PREMIER SALES PVT LTD-SIALKOT,834751858.157714
2774,PREMIER SALES PVT LTD-MARDAN,821350529.316085
2693,PREMIER SALES PVT LTD-SARGODHA,773446526.662965
2698,PREMIER SALES PVT LTD-GUJRANWALA,747070396.059485
2903,PREMIER SALES PVT LTD-BANNU,728613494.28486
2625,PREMIER SALES PVT LTD-JHANG,727626181.635636
2718,PREMIER SALES PVT LTD-SUKKUR,695789103.322993
2781,PREMIER SALES PVT LTD-R.Y.KHAN,612700008.989556
8322,PREMIER SALES PVT LTD-TIMERGARA,607637477.68372
8318,PREMIER SALES PVT LTD-KOHAT,595392549.434715
2547,PREMIER SALES PVT LTD-SAHIWAL,578827256.915267
2723,PREMIER SALES PVT LTD-LARKANA,560139716.025271
2714,PREMIER SALES PVT LTD-JHELUM,559757018.236421
2899,PREMIER SALES PVT LTD-D.G.KHAN,558666608.05101
2716,PREMIER SALES PVT LTD-NAWABSHAH,494532860.804002
909,PREMIER SALES PVT LTD-SHEIKHUPURA,489476934.349127
2727,PREMIER SALES PVT LTD-BAHAWALPUR,475026560.493688
2944,PREMIER SALES PVT LTD-MUZAFFARABAD,454775909.682988
1092,ATIF DISTRIBUTOR - MIRPUR AJK,452159074.929682
3961,PREMIER SALES PVT LTD-HASSAN ABDAL,432972469.057126
2724,PREMIER SALES PVT LTD-ABBOTTABAD,417898451.491336
2725,PREMIER SALES PVT LTD-SWABI,415715429.983322
2766,PREMIER SALES PVT LTD-GUJRAT,414346590.06422
2809,PREMIER SALES PVT LTD-MANSEHRA,404192377.686643
3228,NUSRAT PHARMA - KOTLI,401512061.810017
486,PREMIER SALES PVT LTD-D.I.KHAN,356531642.298118
2719,PREMIER SALES PVT LTD-MIRPURKHAS,342132825.486846
8335,PREMIER SALES PVT LTD-LAYYAH,316426196.50953
8313,PREMIER SALES PVT LTD-KASUR,314202598.846328
2932,ALI HAJVERY PHARMA - OKARA,306032979.219434
8306,PREMIER SALES PVT LTD-HARIPUR,296871370.614318
71,PREMIER SALES PVT LTD-KHANEWAL,295557635.72144
2907,PREMIER SALES PVT LTD-ATTOCK,285175109.92842
8315,PREMIER SALES PVT LTD-BAHAWALNAGAR,283558471.420523
2776,PREMIER SALES PVT LTD-JACOBABAD,283554691.651522
516,PREMIER SALES PVT LTD-CHAKWAL,283025397.619927
2770,PREMIER SALES PVT LTD-GHOTKI,264612960.165223
2697,PREMIER SALES PVT LTD-UMERKOT,251150319.154629
1919,PREMIER SALES PVT LTD-DADU,248881153.240428
337,AL-FATEH MEDICINE - BUREWALA,247188809.073325
4700,PULSE CARE TRADERS - NOWSHERA,232085880.760014
2135,PREMIER SALES PVT LTD-MANDI BAHAUDDIN,224257892.29151
8307,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,221100166.810009
8312,PREMIER SALES PVT LTD-GUJJAR KHAN,206376593.161807
2618,SHAHMEER & HADI DISTRIBUTORS - KHUSHAB,172522684.260007
8320,PREMIER SALES PVT LTD-HAFIZABAD,156131200.863703
2906,PREMIER SALES PVT LTD-NAUSHERO FEROZ,156098021.354306
8309,PREMIER SALES PVT LTD-NAROWAL,148603195.3382
4175,PREMIER SALES PVT LTD-SHAHDADPUR,130794419.918299
8341,SHOAIB DRUG AGENCY - BATKHELA,128324135.519999
2212,NOOR MEDICINE COMPANY - BHAKKAR,123639869.139999
2635,PREMIER SALES PVT LTD-THATTA,123173316.393397
3455,SULTAN SUPPLIES SERVICES - LAYYAH,123087501.344997
8305,SADAT TRADERS - MIR ALI,122420724.13
8345,PREMIER SALES PVT LTD-NOWSHERA,120492911.628099
8308,PREMIER SALES PVT LTD-GILGIT,118360125.334601
8344,PREMIER SALES PVT LTD-BUREWALA,107661290.108596
8342,PREMIER SALES PVT LTD-KHARIAN,95818937.795799
671,HAZZ INTERNATIONAL - KARACHI,95162464.7762999
8329,LIFE CARE - RAWALPINDI,91473210.57
8321,EMAAN TRADERS PHARMACEUTICAL - LORALAI,89660834.2399996
8328,A.K. ENTERPRISES - KARACHI,82990165.19
1991,AL-ABBAS DISTRIBUTORS - SKARDU,82950891.642
2754,PREMIER SALES PVT LTD-BADIN,81658092.0749969
3197,PAKISTAN VACCINE HOUSE - LAHORE,68357923.6399997
8343,MAKKAH ENTERPRISES - PARACHINAR,66805609.6699999
8339,FRIENDS MEDICINE SERVICE - RAWALAKOT,54011628.8680001
8314,NEW KARACHI MEDICINE DISTRIBUTOR - WANA,48973493.7644002
8317,BIOMAX PHARMA - LAHORE,48619009.45
8326,FINE TRADERS - LAHORE,43222536.14
8325,FAMOUS DISTRIBUTORS - FAISALABAD,41779017.288
1467,AL-RAZZAK ENTERPRISES - KARACHI,36019861.39
8323,ALAM ENTERPRISES - CHITRAL,34984984.36
8346,PREMIER SALES PVT LTD-MITHI,32225888.2944999
8310,PREMIER SALES PVT LTD-GWADAR,30693312.9059
8336,S.K. DISTRIBUTOR - ISLAMABAD,27119872.63
8331,SURGI PLUS - HYDERABAD,26964770.921
8327,A.K. ENTERPRISES - MULTAN,20270133.33
3722,SNW Medicine Distribution - KHUZDAR,17929356.01
8347,A.Q. TRADERS - RAWALPINDI,9737870.55
8338,NAJAM BROTHERS - QUETTA,7035109.82370001
8330,HAFIZ MEDICINE COMPANY - SARGODHA,6877210.01000001
8340,HEALTH RESOURCES DISTRIBUTORS - RWP,6316584.34
8349,PREMIER SALES PVT LTD-SHORKOT,5714264.17999998
8337,KHURRAM TRADERS - SIALKOT,5047531.93
8348,CHAUDHARY MEDICINE CENTER–TTSINGH,2284001.86
8350,PREMIER SALES PVT LTD-SHAKARGARH,1969348.9514
