ProductName,Year,Month,UnitsSold,Revenue
Actiflor,2024,1,5434,3430419.4293
Actiflor,2024,2,5070,3213498.5405
Actiflor,2024,3,8566,5428384.9999
Actiflor,2024,4,10897,6898452.659
Actiflor,2024,5,17193,10876240.5013
Actiflor,2024,6,10400,6563368.0175
Actiflor,2024,7,8177,5195286.6784
Actiflor,2024,8,10838,6848537.23
Actiflor,2024,9,10063,6307677.9433
Actiflor,2024,10,7427,4686224.4935
Actiflor,2024,11,4393,2784322.004
Actiflor,2024,12,3891,2464071.0745
Actiflor,2025,1,5419,3443959.875
Actiflor,2025,2,7540,4780711.2444
Actiflor,2025,3,6742,4270066.643
Actiflor,2025,4,10508,6645688.4205
Actiflor,2025,5,8962,5650087.2473
Actiflor,2025,6,6217,3914839.574
Actiflor,2025,7,8185,5169671.694
Actiflor,2025,8,7900,5015993.2745
Actiflor,2025,9,6857,4290685.6997
Actiflor,2025,10,3296,2058583.55
Actiflor,2025,11,3047,1931314.536
Actiflor,2025,12,3058,1932212.4275
Actiflor,2026,1,2032,1284501.9045
Actiflor,2026,2,1,637.5
Actnise,2024,1,11792,3980779.4573
Actnise,2024,2,6325,2061734.7375
Actnise,2024,3,7193,2379678.419
Actnise,2024,4,7211,2323380.181
Actnise,2024,5,8938,2935308.16300001
Actnise,2024,6,5089,1636471.126
Actnise,2024,7,758,260084.825
Actnise,2024,8,72,20224.134
Actnise,2024,9,-427,-145171.3975
Actnise,2024,10,12424,4046099.59840001
Actnise,2024,11,12604,4142694.88130002
Actnise,2024,12,8075,2660186.2847
Actnise,2025,1,7826,2557486.388
Actnise,2025,2,7222,2282471.77370001
Actnise,2025,3,5882,1910926.5269
Actnise,2025,4,7577,2443372.63169999
Actnise,2025,5,8262,2611835.58319999
Actnise,2025,6,8900,2812014.45359999
Actnise,2025,7,11912,3998608.08240003
Actnise,2025,8,10852,3498591.48860003
Actnise,2025,9,17313,5694273.98690008
Actnise,2025,10,13891,4664179.12860004
Actnise,2025,11,8999,3076925.67950001
Actnise,2025,12,10921,3571199.57250001
Actnise,2026,1,6798,2207703.9788
Actnise,2026,2,1,319.0179
Ad Folic,2024,1,25367,9824302.67979977
Ad Folic,2024,2,25906,10041750.1846998
Ad Folic,2024,3,26409,10233796.9818997
Ad Folic,2024,4,25463,9857604.63729976
Ad Folic,2024,5,29762,11535143.6023997
Ad Folic,2024,6,26944,10437373.0494997
Ad Folic,2024,7,28986,11229683.3331997
Ad Folic,2024,8,28261,10948303.8072997
Ad Folic,2024,9,26717,10349713.4942998
Ad Folic,2024,10,28284,10945462.9529997
Ad Folic,2024,11,25221,9757599.83459979
Ad Folic,2024,12,25305,9792342.25009977
Ad Folic,2025,1,27610,10687817.0613997
Ad Folic,2025,2,28528,11040240.7073997
Ad Folic,2025,3,27565,10674736.5191997
Ad Folic,2025,4,29925,11575439.5848997
Ad Folic,2025,5,32569,12602383.9224997
Ad Folic,2025,6,29051,11238996.8424997
Ad Folic,2025,7,34855,13483032.1778996
Ad Folic,2025,8,32242,12472218.0385997
Ad Folic,2025,9,30430,11756914.8525997
Ad Folic,2025,10,29270,11321545.5507997
