Year,Month,TotalUnits,TotalBonus,TotalDiscount,TotalSales
2024,1,5333742,11783,20996084.1455,1584351963.1237
2024,2,5331556,9697,28594273.7938001,1543574185.58541
2024,3,5305665,11186,25633918.7389001,1626230939.36021
2024,4,5209594,8734,20987864.28572,1498363318.39348
2024,5,5663589,12212,28593598.3066,1650573987.25254
2024,6,5307221,9251,27231303.9603,1570005662.19898
2024,7,5579581,8491,25237791.9861,1673176975.96306
2024,8,4867271,10310,27951177.7343,1737774062.64477
2024,9,5659011,11016,28161573.6511,1755144581.26806
2024,10,6050860,13204,32002706.8705402,1872893871.93838
2024,11,5871798,15669,37240248.2064199,1782816059.64269
2024,12,6337164,11835,27617650.6151696,1797051257.77386
2025,1,6291532,13238,31869670.7834196,1893827704.29572
2025,2,5732710,13271,27598239.4420299,1810518338.40703
2025,3,5432236,11275,25343691.6470499,1830414440.26193
2025,4,5669106,12872,25441181.2841498,1801945846.36494
2025,5,6274965,14285,32115321.9474597,1974920180.13134
2025,6,6110419,12505,30301102.4583999,1819149662.74069
2025,7,5931925,18928,30453686.2127998,2040623098.68606
2025,8,6391586,20719,29722748.4912,1986605908.32767
2025,9,6422281,29043,31140358.3918,2044943678.03722
2025,10,6445336,27203,34087887.2725999,2125466223.10633
2025,11,6123775,20752,30951765.9009998,1985859511.69786
2025,12,6527238,22492,30174861.6485998,2124549598.40019
2026,1,6031053,15433,28409551.8970999,2067532014.20176
2026,2,6330,3,19747.3161,2542708.4739
