Year,Month,TotalSales
2024,1,1588273569.54377
2024,2,1547935774.69548
2024,3,1630708415.75028
2024,4,1502307563.89352
2024,5,1654684061.73261
2024,6,1573434740.34902
2024,7,1677239323.2331
2024,8,1742125810.21488
2024,9,1759350261.74814
2024,10,1877494860.4885
2024,11,1787309140.09277
2024,12,1801716993.25398
2025,1,1898843076.57583
2025,2,1815362303.51713
2025,3,1835281870.07205
2025,4,1806560077.98503
2025,5,1979913603.64148
2025,6,1823669481.06079
2025,7,2045730703.96621
2025,8,1991434768.29781
2025,9,2050141080.37733
2025,10,2131217081.98647
2025,11,1991400136.41802
2025,12,2130406721.84036
2026,1,2072826074.55192
2026,2,526719307.189867
