ProductName,TotalUnits,AvgSellingPrice
Ad Folic,714326,387.00951256729
Ad-D Chewable,56999,265.672212168634
Aircare,17447,421.015890067059
Anex-M,70923,331.199455843669
BONEDOL,-2,127.5
Busonide,744932,425.116785267293
CLEAR LAX,-8,408.0
Erli Plus,776489,346.677713647569
ESMART,-44,213.165681818182
Evokalm,818550,267.802258465581
Evopride,696195,583.436766260595
Fasteso,201310,341.035530304516
FORMIS,-8,435.9
FREEDEP,-42,250.75
Histalis,302273,181.177077340682
IBANDRO,-256,444.34303515625
INNOGEN R,-6,394.4
Inosita,344994,1037.68303075345
Inosita Plus,3748575,881.777740077125
K-1000 Plus,101671,251.523220080473
Klevra,205711,1006.54600808535
Klevra XR,17757,562.718902292054
Lowplat Plus,10898756,252.382061112727
MEZREL XR,-1,187.0
Momist Nasal Spray,64111,583.098334763145
Omron BPM,71617,7813.95836016338
Omron Nebulizer,2166,9033.81954930749
Onita,293562,1179.73431544955
PAIN GEAR,-16,2647.737375
Retzole,56287,1775.50025218967
Revolic,41332,541.920664216539
Stevo,74224,398.852573728179
Telsarta-D,338127,482.213009856651
Treatan-D,38702,836.762467490051
UFI,-1456,425.544735576923
Vanzak,133023,330.003179250205
Voxamine,425373,456.774303406676
WINZITH,-5,178.45
X-Plended EZ,1297053,397.222413816772
Zilero,35189,804.861023771633
Actiflor,182113,631.945205238507
Actnise,206410,327.655533656315
Aircare Plus,76729,381.153845750629
Aireez,632662,570.434144415819
ANEX,-1,204.0
Anplag,558259,1364.62779797244
Arbi-D,512031,461.975712198284
AXIFER,4063,738.206030027074
BD PEN NEEDLE,3252793,22.2530904340978
Bempion,13332,413.391812931293
Byvas,2475648,282.52603870636
CEFIPIME,-2,510.0
Eglaro-S,347108,644.488994462184
Erlina Plus XR,280237,272.04400751112
EvoCheck Go,261271,1493.78130113391
EVODOXIM,0,0.0
Evofix,235275,453.815624447561
Evokalm XR,92517,580.459103266427
EVOZID,-1,191.25
Femova,338257,1072.95791167794
Finno-Q,102956,502.382855450911
Gouric,3276473,600.205175785401
Iprazyme,15970,482.80682874139
Itipso,218981,186.525435654235
Kalsob,1064380,621.644988557358
LACTEUS LF,-43,1332.0
MYOPRO,-111,185.908828828829
Nise,6269404,259.357153275322
NUVAL D,-105,236.797238095238
Omron BPM Wrist,3986,6120.38266048669
Omron Weigh Scale,804,6774.46587151741
Paridopa,127736,1556.89319932361
Redexa,139403,635.221586761403
REKLAIM,-590,499.477579152542
SETSPIN,-78,296.724
Supercran,84513,314.402078835206
Telsarta-A,1236137,415.451750771576
Treatan,767969,413.64832891079
UriTreat,48533,843.964199616756
Zilfom,82709,445.29682810335
Agoviz,132152,707.189691434004
Azliv,-319,192.585027586207
BD SYRINGE - BAG,44361708,34.2508491826672
Diu Tansin,210083,232.377079926028
Erli,1042218,410.346843813058
Erlina,832484,583.021246076866
Estar,3197378,374.682762063357
Evo Joshanda,25384,443.783131756224
EvoCheck Premium LinX,759,12733.0671936759
Evopravir,-10,1912.5
Evopride Plus,1374426,429.774215903372
Ferfer,585627,751.470807396568
Ferfer Gro,92340,419.22049124435
Forsonide,12937,542.399921156373
INNOGEN N,-6,394.4
K-1000,664933,623.380047372893
LACTEUS 3,-31,1193.25
LACTEUS MAMA,-11,1378.25
LIMITROL,2,127.5
NOZEA,-18,239.74
Omron ETB,4932,1431.15771214517
Orslim,709393,2172.27179710541
Oxivort,22919,361.612493995812
Phytus,91417,369.683415619632
SECURIN,-11,176.350909090909
SheVit,412956,494.655612151608
Tansin,584230,201.7461684638
Tiocap,419875,218.686048448634
Vible,215335,716.913441109965
Ad Folic OD,988536,521.735930476823
Arbi,295547,348.308873311859
Arbi-A,84012,283.305366369113
Avsar,7922564,454.365848278381
Avsar Plus,2600117,447.991161044579
Dapwiz,608276,285.633359627703
Dapwiz Plus XR,134767,447.761487788524
Dipof,229807,228.890995793452
Duzalta,763865,582.707110794674
Eglaro,12562,405.840286610409
Erli Plus XR,733929,526.837630418147
EvoCheck,240511,2194.60404771881
Evocheck M BGM,-17,1312.0
EVOCIN,-7,133.571428571429
EVOROX,0,0.0
Galvecta,42638,338.214332564848
Galvecta Plus,346321,503.933927745935
HIFAZAT,-99,201.225827272727
Iprazyme-S,20081,589.142741895324
Ivadin,85097,355.146232769663
LACTEUS 1,-63,1193.25
LACTEUS 2,-75,1193.25
LACTEUS AR,-67,1313.86585820896
LACTEUS GROW 3,-13,1193.25
Lowplat,8794607,235.80325037476
MFIT,-32,1220.52
NEBULIZERS,8,-1908.5058
Neo Q 10,79337,1109.60882010662
NUVAL,-75,220.294666666667
Opt-D,3630707,235.342137536149
Ramipace,1481388,580.960314979933
RIXABAC,-2,288.24
Sacvin,787355,1405.39822363266
Sparliv,115070,788.666300118159
SPEDICAM,-368,126.534386684783
Telsarta,776038,265.278041700535
Thewril,174490,567.183915467935
X-Plended,9602386,426.429789838287
Xcept,2170297,530.804825469546
Xilica,802920,404.444878903681
Zibes,995578,139.333749308555
Zoltar,902916,224.242369701245
ZOLTAR INSTA,-5,214.2
