ProductName,Year,Month,UnitsSold
Actiflor,2024,1,5434
Actiflor,2024,2,5070
Actiflor,2024,3,8566
Actiflor,2024,4,10897
Actiflor,2024,5,17193
Actiflor,2024,6,10400
Actiflor,2024,7,8177
Actiflor,2024,8,10838
Actiflor,2024,9,10063
Actiflor,2024,10,7427
Actiflor,2024,11,4393
Actiflor,2024,12,3891
Actiflor,2025,1,5419
Actiflor,2025,2,7540
Actiflor,2025,3,6742
Actiflor,2025,4,10508
Actiflor,2025,5,8962
Actiflor,2025,6,6217
Actiflor,2025,7,8185
Actiflor,2025,8,7900
Actiflor,2025,9,6857
Actiflor,2025,10,3296
Actiflor,2025,11,3047
Actiflor,2025,12,3058
Actiflor,2026,1,2032
Actiflor,2026,2,537
Actnise,2024,1,11792
Actnise,2024,2,6325
Actnise,2024,3,7193
Actnise,2024,4,7211
Actnise,2024,5,8938
Actnise,2024,6,5089
Actnise,2024,7,758
Actnise,2024,8,72
Actnise,2024,9,-427
Actnise,2024,10,12424
Actnise,2024,11,12604
Actnise,2024,12,8075
Actnise,2025,1,7826
Actnise,2025,2,7222
Actnise,2025,3,5882
Actnise,2025,4,7577
Actnise,2025,5,8262
Actnise,2025,6,8900
Actnise,2025,7,11912
Actnise,2025,8,10852
Actnise,2025,9,17313
Actnise,2025,10,13891
Actnise,2025,11,8999
Actnise,2025,12,10921
Actnise,2026,1,6798
Actnise,2026,2,421
Ad Folic,2024,1,25367
Ad Folic,2024,2,25906
Ad Folic,2024,3,26409
Ad Folic,2024,4,25463
Ad Folic,2024,5,29762
Ad Folic,2024,6,26944
Ad Folic,2024,7,28986
Ad Folic,2024,8,28261
Ad Folic,2024,9,26717
Ad Folic,2024,10,28284
Ad Folic,2024,11,25221
Ad Folic,2024,12,25305
Ad Folic,2025,1,27610
Ad Folic,2025,2,28528
Ad Folic,2025,3,27565
Ad Folic,2025,4,29925
Ad Folic,2025,5,32569
Ad Folic,2025,6,29051
Ad Folic,2025,7,34855
Ad Folic,2025,8,32242
Ad Folic,2025,9,30430
Ad Folic,2025,10,29270
Ad Folic,2025,11,29042
Ad Folic,2025,12,31162
Ad Folic,2026,1,29421
Ad Folic,2026,2,6647
Ad Folic OD,2024,1,31389
Ad Folic OD,2024,2,26780
Ad Folic OD,2024,3,34311
Ad Folic OD,2024,4,33623
Ad Folic OD,2024,5,37601
Ad Folic OD,2024,6,35318
Ad Folic OD,2024,7,37457
Ad Folic OD,2024,8,38285
Ad Folic OD,2024,9,37584
Ad Folic OD,2024,10,38333
Ad Folic OD,2024,11,37498
Ad Folic OD,2024,12,37147
Ad Folic OD,2025,1,39552
Ad Folic OD,2025,2,39420
Ad Folic OD,2025,3,38948
Ad Folic OD,2025,4,42305
Ad Folic OD,2025,5,43985
Ad Folic OD,2025,6,41330
Ad Folic OD,2025,7,48255
Ad Folic OD,2025,8,45746
Ad Folic OD,2025,9,46824
Ad Folic OD,2025,10,44641
Ad Folic OD,2025,11,42965
Ad Folic OD,2025,12,45662
Ad Folic OD,2026,1,43559
Ad Folic OD,2026,2,9220
Ad-D Chewable,2024,1,1804
Ad-D Chewable,2024,2,2184
Ad-D Chewable,2024,3,1289
Ad-D Chewable,2024,4,1237
Ad-D Chewable,2024,5,901
Ad-D Chewable,2024,6,1274
Ad-D Chewable,2024,7,2470
Ad-D Chewable,2024,8,2228
Ad-D Chewable,2024,9,2449
Ad-D Chewable,2024,10,2621
Ad-D Chewable,2024,11,2370
Ad-D Chewable,2024,12,2778
Ad-D Chewable,2025,1,2694
Ad-D Chewable,2025,2,2515
Ad-D Chewable,2025,3,2161
Ad-D Chewable,2025,4,2560
Ad-D Chewable,2025,5,2906
Ad-D Chewable,2025,6,2336
Ad-D Chewable,2025,7,3149
Ad-D Chewable,2025,8,3245
Ad-D Chewable,2025,9,2643
Ad-D Chewable,2025,10,2619
Ad-D Chewable,2025,11,2276
Ad-D Chewable,2025,12,2332
Ad-D Chewable,2026,1,1938
Ad-D Chewable,2026,2,624
Agoviz,2024,1,4870
Agoviz,2024,2,4693
Agoviz,2024,3,4808
Agoviz,2024,4,4571
Agoviz,2024,5,4691
Agoviz,2024,6,4560
Agoviz,2024,7,5221
Agoviz,2024,8,5331
Agoviz,2024,9,5413
Agoviz,2024,10,5930
Agoviz,2024,11,5625
Agoviz,2024,12,5503
